indexNo,text,sentiment
1,我就奇怪了??为啥你能拍得这么美呢,1
2,因为我做什么都认真，都诚心诚意！,1
3,好你诚心诚意！我谦虚低调！咱都是优秀品格的人再赞一个??干杯,1
4,嗯嗯，咱俩都是最可爱的人！,1
5,是这是人家自己的事就算我能见到她也不会说你们分手吧什么的可是我真心不喜欢冯绍峰这个理由够吗,4
6,最起码那孩子对倪妮没恶意，你不开心也别来这里找人吵架不好吗,4
7,我只是看到评论觉得很不爽而且憋很久不懂的可以闭嘴吗,4
8,你不爽就来说谁配不上谁，还让大家都迁就你？,4
9,狂上加狂的旧时燕飞帝王家和危宫惊梦,5
10,哈哈，我也推这本。她古文好厉害,1
11,原来特别喜欢他写的耽美，没想到男女的也写的很好看，太棒了哈,1
12,我不看耽美，接触她的第一本就是旧时，好好看，好久没看的那么过瘾！,1
13,呵呵呵呵呵呵呵呵你拍我家枇杷树跟我说了嘛！！！不准吃我家枇杷！！！都我的！！！,4
14,写你名了？写你名了？写你名了？,4
15,你难道没看到么，当初我在每颗果子上都刻了我的大名！！,4
16,有枇杷满枝，吾妹未出阁楼时亲手所刻，今已糟蹋完矣,4
17,哎，我就吃下这个哑巴亏算了,2
18,呔，妖怪，死到临头还嘴硬,4
19,真不愧是嘴脸红，看我不收了你,4
20,自古真情留不住，唯有套路留人心,2
21,还不睡，你手机的电量真是感人,5
22,"偶看报纸上的评论,好像也不看好.",2
23,明天要是有时候间就去看少年派据说很好，周末快乐哦,1
24,周末快乐!等你看完再讲评讲评哦,1
25,下午看了少年派奇幻漂流，李安的片子，不错，值得一看的,1
26,你这个包裹厉害的！据说最近除重量外，要算体积了。,1
27,我刚好是在那个通知发出的前一天发货的,5
28,太棒了！我的几件东西还没到齐，还得等几天,1
29,你也买啦我买了16家，都是很快就到了,5
30,止不住的买买买浪潮,5
31,道理是这样的，不过茶没味了，也是有过程的。有些茶是会让人回味无穷的,5
32,茶本身不会回味无穷，能够回味无穷的都是自己内心的感受。,5
33,其实只要经历过就好，忘记的就忘记吧，明天会有更好的回忆。圣诞快乐,1
34,生命长河中有些回忆举足轻重，有些能记住一辈子。其实，都不重要。只要能感受到快乐就行。谢谢，圣诞快乐,1
35,我当时也是这样想的～实在是太美了～,1
36,是咯，不过我还是好想换相机喔哈哈,0
37,要换单反么？？不过我最近才刚买了新的,5
38,亲爱的你买的啥？,5
39,"gf2,去澳门玩的时候买的",5
40,样子问题！我早就说了不卖！哈哈,0
41,要你管啦，票房又不能说明一切，不过有些人不懂欣赏罢了。,4
42,啊哈哈，叔叔莫着急，你喜欢周杰伦必须得爱屋及乌的啦！,1
43,这还差不多。诶你大学录了吧？,5
44,现在才知道来关心我！,2
45,我也才收到录取通知啊,5
46,饿，我这边好塞车。,2
47,你唔系搭地铁嘅咩？,5
48,地铁？要专线，好远。,2
49,呃~虽然我中意坐巴士多过坐地铁~哈哈~不过地铁快喔~,1
50,这什么地方这么落后啊…,2
51,居然是广州的一个铺位,2
52,你没给他普及微信支付么…看来还要加大力度啊，看来这老板平时不玩微信啊！,2
53,要好好普及一下，很显然他玩，否则不会知道有其他支付方式，哈哈,0
54,pgone陌陌号上发dp照片配字：约吗,4
55,还在626国际禁毒日那天发的…屁股王很牛逼是吗？,4
56,对呀光明正大抄袭又光明正大约d王昊怕过谁,4
57,原来他叫王昊啊…怪不得都叫他屁股王,4
58,拒绝就不会吃了,5
59,你这逻辑有问题，好好读书吧,4
60,呵呵哒，难道你是来这里展现自己的高风亮节的？,4
61,难道你来这里展现你的无知愚昧？,4
62,你们为什么见到雪那么兴奋,5
63,我从小到大没有见过雪。你觉得呢。跟你们喜欢大海一样,0
64,我本人对大海没什么感觉hhhh第一次看见也不兴奋,5
65,哈哈哈。好吧。怪我怪我,0
66,所以在盼望结束么,5
67,是期待奖品的那天嘻嘻,0
68,那要是抽不到你你不得哭,5
69,抽不到口红我可能会哭,2
70,最好吃的是什么？不是季节啊，我首先想到的就是大闸蟹。,5
71,那边没有最好吃的！不好吃都,2
72,坐高铁去得？几个小时多钱？我考虑要是去上海可以考虑坐高铁去武汉吃米粉哈哈,0
73,尼玛你直接飞来我请你吃够！哈哈,0
74,我目的地不是武汉啊,5
75,我想知道有没有好心人点进我的相册看看我是几分的…（小声逼逼&瑟瑟发抖）,3
76,8分呀6条条条符合呀,1
77,真爱宝宝怎么在这被你捞出来的,1
78,哈哈哈通知里面看到的,0
79,摸摸头，坚强的小土豆！,1
80,噗你也是大家都一样作为特别关注我特别荣幸噗,0
81,哈哈哈，我还指望着你成了网红一起卖面膜呢,0
82,噗好哒那我要多出一点摄影作品了！,0
83,铁定是没成功啊,2
84,哎呀?你觉得可能吗！我一出马不成功不可能！,1
85,哦哟，是不是哦，出马和看看,4
86,哈哈哈哈！开玩笑的！人家一定要谦虚啦！,0
87,哈哈，好谦虚哦，我其实才是最谦虚的,0
88,可我觉得他没有比赛的时候可爱了样子变了,1
89,是的的台下很可爱脸怎么尖尖的了不过唱歌的时候真的好腻害,1
90,嗯嗯唱歌超好听手都很帅,1
91,嗯呢男生手好看很心动哦,1
92,不太懂素锦为啥对着镜子说话，她不知道她手上的镜子是夜华的而另一个镜子在素素那么,5
93,就是故意说给素素听,5
94,她说的那个话特别真诚我以为她想对夜华说,5
95,哈哈可以看看原着就都懂了,0
96,播音界泰斗齐越老先生,5
97,对对对，文化人呀,1
98,我是播音主持专业的哈哈,0
99,可以呀！厉害了,1
100,照顾好自己！抱抱,1
101,抱抱也不知道最近怎么了身体这么差,2
102,我男朋友上个月也是超级背还一直生病水逆嘛！！都会好的！,1
103,嗯嗯我相信我很快就会好起来的,1
104,为自己准备好纸巾了不哭不是我本人,2
105,我到时候都不想投票了双重压力,3
106,我姐妹跟我说:“说不定你哥哥就差你那几百票”痛苦啊,2
107,这个时候无比希望公司下场帮我们投几个小时票好不好,2
108,我们根本指望不了公司555他们只想简单快乐,2
109,简单快乐还要剪辑师吗我自荐一下,5
110,我不喜欢秃子！,4
111,秃子怎么啦？怎么啦？怎么啦？环保节能又可以照亮。,4
112,秃子有点像吸毒的啊！,4
113,扯淡。你这太不客观。好多满脑袋头发的还杀人呢。,4
114,可以找你谈恋爱不周末包接送的那种哈哈,0
115,不和hmp谈恋爱那种又是哪种,4
116,乱说你误解我了我只是幽默一哈,0
117,可能是嘛这样子幽默我就只有呵呵了,4
118,搞得我跟坏人一样,4
119,十个高地9个基（外加名字可以确认也是基！,5
120,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我是基佬我骄傲！！！（名字一点也不鸡！）,0
121,天宝伏妖录还不基！,5
122,嘘，那是本玄幻剧情文！,5
123,我只注意到了是“他”,5
124,哈哈，是男生，然而好朋友没有性别之分～,0
125,我不管，又一个潜在情敌,3
126,哪来这么多情敌啦，亲亲哈,0
127,你啊你啊!!真系好靓啊你!!,1
128,好似你靓d喔~,1
129,你有星味~哈哈!!,1
130,你青春无敌~！,1
131,小学你就38的脚了！莫非阁下就是江湖上人人敬仰的赤脚大仙？小弟乃诚实可靠小郎君，人世间一迷途小书童，久仰大名,5
132,你是第二个发现的脑子一下子没转过弯来,5
133,泡脚好事情，解乏，还可以去死皮，小时候你就知道这些，长大不得了的,5
134,好家伙??被你一说??我感觉自己突然好机智,1
