ID,Text,Labels
1,我就奇怪了??为啥你能拍得这么美呢 __eou__ 因为我做什么都认真，都诚心诚意！ __eou__ 好你诚心诚意！我谦虚低调！咱都是优秀品格的人再赞一个??干杯 __eou__ 嗯嗯，咱俩都是最可爱的人！,2222
2,是这是人家自己的事就算我能见到她也不会说你们分手吧什么的可是我真心不喜欢冯绍峰这个理由够吗 __eou__ 最起码那孩子对倪妮没恶意，你不开心也别来这里找人吵架不好吗 __eou__ 我只是看到评论觉得很不爽而且憋很久不懂的可以闭嘴吗 __eou__ 你不爽就来说谁配不上谁，还让大家都迁就你？,5555
3,狂上加狂的旧时燕飞帝王家和危宫惊梦 __eou__ 哈哈，我也推这本。她古文好厉害 __eou__ 原来特别喜欢他写的耽美，没想到男女的也写的很好看，太棒了哈 __eou__ 我不看耽美，接触她的第一本就是旧时，好好看，好久没看的那么过瘾！,6222
4,呵呵呵呵呵呵呵呵你拍我家枇杷树跟我说了嘛！！！不准吃我家枇杷！！！都我的！！！ __eou__ 写你名了？写你名了？写你名了？ __eou__ 你难道没看到么，当初我在每颗果子上都刻了我的大名！！ __eou__ 有枇杷满枝，吾妹未出阁楼时亲手所刻，今已糟蹋完矣,5555
5,哎，我就吃下这个哑巴亏算了 __eou__ 呔，妖怪，死到临头还嘴硬 __eou__ 真不愧是嘴脸红，看我不收了你 __eou__ 自古真情留不住，唯有套路留人心 __eou__ 还不睡，你手机的电量真是感人,35536
6,"偶看报纸上的评论,好像也不看好. __eou__ 明天要是有时候间就去看少年派据说很好，周末快乐哦 __eou__ 周末快乐!等你看完再讲评讲评哦 __eou__ 下午看了少年派奇幻漂流，李安的片子，不错，值得一看的",3222
7,你这个包裹厉害的！据说最近除重量外，要算体积了。 __eou__ 我刚好是在那个通知发出的前一天发货的 __eou__ 太棒了！我的几件东西还没到齐，还得等几天 __eou__ 你也买啦我买了16家，都是很快就到了 __eou__ 止不住的买买买浪潮,26266
8,道理是这样的，不过茶没味了，也是有过程的。有些茶是会让人回味无穷的 __eou__ 茶本身不会回味无穷，能够回味无穷的都是自己内心的感受。 __eou__ 其实只要经历过就好，忘记的就忘记吧，明天会有更好的回忆。圣诞快乐 __eou__ 生命长河中有些回忆举足轻重，有些能记住一辈子。其实，都不重要。只要能感受到快乐就行。谢谢，圣诞快乐,6622
9,"我当时也是这样想的～实在是太美了～ __eou__ 是咯，不过我还是好想换相机喔哈哈 __eou__ 要换单反么？？不过我最近才刚买了新的 __eou__ 亲爱的你买的啥？ __eou__ gf2,去澳门玩的时候买的",21666
10,样子问题！我早就说了不卖！哈哈 __eou__ 要你管啦，票房又不能说明一切，不过有些人不懂欣赏罢了。 __eou__ 啊哈哈，叔叔莫着急，你喜欢周杰伦必须得爱屋及乌的啦！ __eou__ 这还差不多。诶你大学录了吧？ __eou__ 现在才知道来关心我！ __eou__ 我也才收到录取通知啊,152636
11,饿，我这边好塞车。 __eou__ 你唔系搭地铁嘅咩？ __eou__ 地铁？要专线，好远。 __eou__ 呃~虽然我中意坐巴士多过坐地铁~哈哈~不过地铁快喔~,3632
12,这什么地方这么落后啊… __eou__ 居然是广州的一个铺位 __eou__ 你没给他普及微信支付么…看来还要加大力度啊，看来这老板平时不玩微信啊！ __eou__ 要好好普及一下，很显然他玩，否则不会知道有其他支付方式，哈哈,3331
13,pgone陌陌号上发dp照片配字：约吗 __eou__ 还在626国际禁毒日那天发的…屁股王很牛逼是吗？ __eou__ 对呀光明正大抄袭又光明正大约d王昊怕过谁 __eou__ 原来他叫王昊啊…怪不得都叫他屁股王,5555
14,拒绝就不会吃了 __eou__ 你这逻辑有问题，好好读书吧 __eou__ 呵呵哒，难道你是来这里展现自己的高风亮节的？ __eou__ 难道你来这里展现你的无知愚昧？,6555
15,你们为什么见到雪那么兴奋 __eou__ 我从小到大没有见过雪。你觉得呢。跟你们喜欢大海一样 __eou__ 我本人对大海没什么感觉hhhh第一次看见也不兴奋 __eou__ 哈哈哈。好吧。怪我怪我,6161
16,所以在盼望结束么 __eou__ 是期待奖品的那天嘻嘻 __eou__ 那要是抽不到你你不得哭 __eou__ 抽不到口红我可能会哭,6163
